Commodity,Date,Unit,Minimum,Maximum,Average
Tomato Big(Nepali),6/12/2024,KG,Rs 40.00,Rs 45.00,Rs 43.33
Tomato Big(Indian),6/12/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),6/12/2024,KG,Rs 15.00,Rs 22.00,Rs 19.00
Tomato Small(Tunnel),6/12/2024,KG,Rs 27.00,Rs 30.00,Rs 28.40
Potato Red,6/12/2024,KG,Rs 50.00,Rs 55.00,Rs 53.00
Potato Red(Indian),6/12/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Potato Red(Mude),6/12/2024,KG,Rs 50.00,Rs 52.00,Rs 51.33
Onion Dry (Indian),6/12/2024,KG,Rs 80.00,Rs 85.00,Rs 83.00
Carrot(Local),6/12/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cabbage(Local),6/12/2024,KG,Rs 20.00,Rs 25.00,Rs 22.00
Cauli Local,6/12/2024,KG,Rs 60.00,Rs 70.00,Rs 66.00
Cauli Local(Jyapu),6/12/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Raddish White(Hybrid),6/12/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Brinjal Long,6/12/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,6/12/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Cow pea(Long),6/12/2024,KG,Rs 110.00,Rs 120.00,Rs 116.00
Cowpea(Short),6/12/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
French Bean(Local),6/12/2024,KG,Rs 50.00,Rs 60.00,Rs 56.00
French Bean(Hybrid),6/12/2024,KG,Rs 50.00,Rs 60.00,Rs 56.00
French Bean(Rajma),6/12/2024,KG,Rs 140.00,Rs 180.00,Rs 160.00
Soyabean Green,6/12/2024,KG,Rs 120.00,Rs 150.00,Rs 135.00
Bitter Gourd,6/12/2024,KG,Rs 40.00,Rs 50.00,Rs 46.00
Bottle Gourd,6/12/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Pointed Gourd(Local),6/12/2024,KG,Rs 70.00,Rs 80.00,Rs 76.00
Pointed Gourd(Terai),6/12/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Snake Gourd,6/12/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Smooth Gourd,6/12/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Sponge Gourd,6/12/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pumpkin,6/12/2024,KG,Rs 35.00,Rs 40.00,Rs 37.50
Squash(Long),6/12/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),6/12/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Okara,6/12/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Sweet Potato,6/12/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
